arch,lam_mono,lam_zuber,lr,n_collocation,r2_mean,r2_std,r2_min,r2_max,mape_mean
16x16x8,0.3,0.3,0.0005,512,0.5182282966918836,0.14908926950137386,0.3672672092703123,0.770459384414912,39.9103878001928
8x8,0.0,0.3,0.0005,512,0.5174205912045657,0.15073698593692403,0.36447018330273184,0.7322227318649426,41.129928175873886
16x16x8,0.0,0.3,0.0005,512,0.5164798059236662,0.15223570802393227,0.36673777314382505,0.7703096239517149,39.916897791605614
16x16x8,0.1,0.3,0.0005,512,0.5116095411793802,0.15821558212383935,0.3335855118283406,0.768018298463756,39.794952052994844
8x8,0.1,0.3,0.0005,512,0.5061317969342921,0.13158587100683614,0.36446819804473685,0.6637848127023731,41.38711875042939
8x8,0.0,0.3,0.0005,256,0.4928253729793969,0.13028258920327132,0.31721691600667123,0.6632494164509699,41.47764573038482
16x8,0.0,0.1,0.0005,512,0.4856701356476661,0.05577228742881386,0.4136486983731612,0.5564565715630638,41.017520851520366
16x8,0.1,0.1,0.0005,512,0.48471107025234844,0.05391590630473986,0.41499146110108187,0.5509063298104014,41.032314653484306
8x8,0.1,0.3,0.0005,256,0.4822669641334464,0.11274684201472798,0.33033878217231005,0.6634420173387852,41.75625289348124
16x8,0.3,0.1,0.0005,512,0.4820237824711481,0.05164980907338424,0.4174386128515689,0.54506575848992,41.08107427761321
8x8,0.3,0.3,0.0005,512,0.4804995866880265,0.10918437426401242,0.3657603997512996,0.6630924625357464,42.06827800329937
16x8,0.5,0.1,0.0005,512,0.4803292169409243,0.05002198676862854,0.4199498639291236,0.5449469079860522,41.10712331083623
8x8,0.0,0.3,0.001,256,0.4761265327715128,0.13196257975460726,0.24778363629285927,0.6482371837506284,44.289101778127524
8x8,0.0,0.3,0.001,512,0.4744587182053362,0.15048765048315232,0.20163884266701526,0.663250442616081,44.33058029269661
16x8,0.1,0.1,0.0005,256,0.47428225423781695,0.055805849116518425,0.4046398198001715,0.5410212973016231,41.21273084705265
16x8,0.3,0.1,0.0005,256,0.4732074279286924,0.05224001527174458,0.40675392229173724,0.5385925558108816,41.15324369842298
16x8,0.5,0.1,0.0005,256,0.4714189918191982,0.050128981700521755,0.40887687897739056,0.538782690638514,41.16536881096418
8x8,0.1,0.3,0.001,256,0.4712155067449991,0.13058477613555522,0.24778363629285927,0.6480961465167479,43.69409364964125
