P,G,X,CHF,grid_base_proxy,grid_base_final
100.0,4500.0,-0.3,23890.0,24690.0,24690.0
100.0,4500.0,-0.2,10945.0,10845.0,10845.0
100.0,4500.0,-0.15,9088.0,8857.0,8857.0
100.0,4500.0,-0.1,8067.0,8066.0,8066.0
100.0,4500.0,-0.05,6267.0,6249.0,6249.0
100.0,4500.0,0.0,5013.0,4976.0,4976.0
100.0,4500.0,0.05,4272.0,3575.0,3575.0
100.0,4500.0,0.1,3287.0,2910.0,2910.0
100.0,4500.0,0.15,2769.0,2705.0,2705.0
100.0,4500.0,0.2,2541.0,2396.0,2396.0
100.0,4500.0,0.25,2304.0,2153.0,2153.0
100.0,4500.0,0.3,1972.0,1984.0,1984.0
100.0,4500.0,0.35,1718.0,1716.0,1716.0
100.0,4500.0,0.4,1405.0,1409.0,1409.0
100.0,4500.0,0.45,1185.0,1216.0,1216.0
100.0,4500.0,0.5,969.0,993.0,993.0
100.0,4500.0,0.6,585.0,588.0,588.0
100.0,4500.0,0.7,289.0,293.0,293.0
100.0,4500.0,0.8,129.0,128.0,128.0
100.0,4500.0,0.9,61.0,64.0,64.0
100.0,5000.0,-0.5,36808.0,34554.0,34554.0
100.0,5000.0,-0.4,30988.0,30987.0,30987.0
100.0,5000.0,-0.3,24979.0,26210.0,26210.0
100.0,5000.0,-0.2,11185.0,11287.0,11287.0
100.0,5000.0,-0.15,9592.0,9165.0,9165.0
100.0,5000.0,-0.1,8576.0,8482.0,8482.0
100.0,5000.0,-0.05,6748.0,6885.0,6885.0
100.0,5000.0,0.0,5113.0,5705.0,5705.0
100.0,5000.0,0.05,4342.0,3576.0,3576.0
100.0,5000.0,0.1,3410.0,3178.0,3178.0
100.0,5000.0,0.15,2890.0,2910.0,2910.0
100.0,5000.0,0.2,2629.0,2571.0,2571.0
100.0,5000.0,0.25,2355.0,2259.0,2259.0
100.0,5000.0,0.3,2066.0,2048.0,2048.0
100.0,5000.0,0.35,1779.0,1828.0,1828.0
100.0,5000.0,0.4,1498.0,1533.0,1533.0
100.0,5000.0,0.45,1247.0,1268.0,1268.0
100.0,5000.0,0.5,1030.0,1037.0,1037.0
100.0,5000.0,0.6,647.0,637.0,637.0
100.0,5000.0,0.7,347.0,348.0,348.0
100.0,5000.0,0.8,167.0,177.0,177.0
100.0,5000.0,0.9,81.0,90.0,90.0
100.0,5500.0,-0.5,38232.0,36154.0,36154.0
100.0,5500.0,-0.4,32141.0,32140.0,32140.0
100.0,5500.0,-0.3,25791.0,26291.0,26291.0
100.0,5500.0,-0.2,11929.0,12329.0,12329.0
100.0,5500.0,-0.15,10084.0,9713.0,9713.0
100.0,5500.0,-0.1,8940.0,8924.0,8924.0
100.0,5500.0,-0.05,6867.0,7155.0,7155.0
100.0,5500.0,0.0,5175.0,6035.0,6035.0
100.0,5500.0,0.05,4389.0,3563.0,3563.0
100.0,5500.0,0.1,3465.0,3299.0,3299.0
100.0,5500.0,0.15,2954.0,2965.0,2965.0
100.0,5500.0,0.2,2680.0,2656.0,2656.0
100.0,5500.0,0.25,2406.0,2365.0,2365.0
100.0,5500.0,0.3,2128.0,2141.0,2141.0
100.0,5500.0,0.35,1848.0,1835.0,1835.0
100.0,5500.0,0.4,1595.0,1621.0,1621.0
100.0,5500.0,0.45,1334.0,1353.0,1353.0
100.0,5500.0,0.5,1118.0,1128.0,1128.0
100.0,5500.0,0.6,729.0,724.0,724.0
100.0,5500.0,0.7,409.0,413.0,413.0
100.0,5500.0,0.8,206.0,226.0,226.0
100.0,5500.0,0.9,101.0,114.0,114.0
100.0,6000.0,-0.5,39525.0,37488.0,37488.0
100.0,6000.0,-0.4,33222.0,33221.0,33221.0
100.0,6000.0,-0.3,26637.0,27036.0,27036.0
100.0,6000.0,-0.2,13026.0,13026.0,13026.0
100.0,6000.0,-0.15,10396.0,10626.0,10626.0
100.0,6000.0,-0.1,9347.0,9554.0,9554.0
100.0,6000.0,-0.05,6919.0,7270.0,7270.0
100.0,6000.0,0.0,5241.0,6314.0,6314.0
100.0,6000.0,0.05,4423.0,3563.0,3563.0
100.0,6000.0,0.1,3580.0,3180.0,3180.0
100.0,6000.0,0.15,2921.0,3028.0,3028.0
100.0,6000.0,0.2,2681.0,2633.0,2633.0
100.0,6000.0,0.25,2447.0,2434.0,2434.0
100.0,6000.0,0.3,2170.0,2207.0,2207.0
100.0,6000.0,0.35,1908.0,1899.0,1899.0
100.0,6000.0,0.4,1651.0,1688.0,1688.0
100.0,6000.0,0.45,1418.0,1442.0,1442.0
100.0,6000.0,0.5,1204.0,1219.0,1219.0
100.0,6000.0,0.6,807.0,806.0,806.0
100.0,6000.0,0.7,468.0,474.0,474.0
100.0,6000.0,0.8,244.0,268.0,268.0
100.0,6000.0,0.9,121.0,139.0,139.0
100.0,6500.0,-0.5,40727.0,38681.0,38681.0
100.0,6500.0,-0.4,34244.0,34243.0,34243.0
100.0,6500.0,-0.3,27480.0,27779.0,27779.0
100.0,6500.0,-0.2,14371.0,14471.0,14471.0
100.0,6500.0,-0.15,10748.0,11093.0,11093.0
100.0,6500.0,-0.1,9701.0,10100.0,10100.0
100.0,6500.0,-0.05,6995.0,7141.0,7141.0
100.0,6500.0,0.0,5295.0,6384.0,6384.0
100.0,6500.0,0.05,4491.0,3661.0,3661.0
100.0,6500.0,0.1,3620.0,3180.0,3180.0
100.0,6500.0,0.15,2918.0,3000.0,3000.0
100.0,6500.0,0.2,2694.0,2631.0,2631.0
100.0,6500.0,0.25,2477.0,2490.0,2490.0
100.0,6500.0,0.3,2209.0,2257.0,2257.0
100.0,6500.0,0.35,1965.0,1979.0,1979.0
100.0,6500.0,0.4,1719.0,1769.0,1769.0
100.0,6500.0,0.45,1493.0,1526.0,1526.0
100.0,6500.0,0.5,1281.0,1298.0,1298.0
100.0,6500.0,0.6,878.0,877.0,877.0
100.0,6500.0,0.7,523.0,530.0,530.0
100.0,6500.0,0.8,282.0,282.0,282.0
100.0,6500.0,0.9,142.0,163.0,163.0
100.0,7000.0,-0.5,41950.0,39394.0,39394.0
100.0,7000.0,-0.4,35224.0,35224.0,35224.0
100.0,7000.0,-0.3,28165.0,28164.0,28164.0
100.0,7000.0,-0.2,15045.0,15445.0,15445.0
100.0,7000.0,-0.15,11091.0,11367.0,11367.0
100.0,7000.0,-0.1,10522.0,10731.0,10731.0
100.0,7000.0,-0.05,7062.0,7171.0,7171.0
100.0,7000.0,0.0,5370.0,6110.0,6110.0
100.0,7000.0,0.05,4513.0,3712.0,3712.0
100.0,7000.0,0.1,3668.0,3237.0,3237.0
100.0,7000.0,0.15,2958.0,3016.0,3016.0
100.0,7000.0,0.2,2724.0,2685.0,2685.0
100.0,7000.0,0.25,2501.0,2528.0,2528.0
100.0,7000.0,0.3,2247.0,2293.0,2293.0
