study,CHF_kW_m2,Ra_um,CA_deg,material,geometry,fluid,P_kPa,orient_deg,Subcooling(K),Width(um),Height(um),Spacing(um),Coverage,Porosity,"MBL, Lateral (um)","MBL, Total (um)"
Kong et al. 2018,225.1,1.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kong et al. 2018,310.5,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,60.0,30.0,1.0,0.75,90.0,60.0
Kong et al. 2018,380.1,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,30.0,1.0,0.75,90.0,60.0
Kong et al. 2018,415.6,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,60.0,30.0,1.0,0.75,90.0,60.0
Kong et al. 2018,386.8,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,60.0,30.0,0.7,0.75,90.0,60.0
Kong et al. 2018,446.0,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,30.0,0.7,0.75,90.0,60.0
Kong et al. 2018,518.5,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,60.0,30.0,0.7,0.75,90.0,60.0
Kong et al. 2018,381.7,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,60.0,30.0,0.7,0.75,90.0,60.0
Kong et al. 2018,444.0,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,30.0,0.7,0.75,90.0,60.0
Kong et al. 2018,518.5,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,60.0,30.0,0.7,0.75,90.0,60.0
Kong et al. 2018,354.1,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,60.0,30.0,0.49,0.75,90.0,60.0
Kong et al. 2018,415.4,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,25,30.0,60.0,30.0,0.49,0.75,90.0,60.0
Kong et al. 2018,471.5,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,35,30.0,60.0,30.0,0.49,0.75,90.0,60.0
Kong et al. 2018,393.9,3.0,,Silicon (N-type),pin_fin,FC-72,101.325,0.0,15,30.0,60.0,30.0,0.49,0.75,90.0,60.0
