dataset,n,fluid,model,split,n_test,n_train,R2,within_10pct,within_20pct,MAPE_pct,RMSE,safe_side_frac,n_seeds,R2_sd
D3_KAERI_uniform,651,water,BOUND_Katto_x1.5,LOSO,65.1,585.9,-41.34419080286681,0.42950059182309824,0.6437204167494129,66.35517846925288,2169.4751363371793,0.30603836073468427,10.0,123.35695908668013
D3_KAERI_uniform,651,water,BOUND_Katto_x2.0,LOSO,65.1,585.9,-41.34419080286681,0.42950059182309824,0.6437204167494129,66.35517846925288,2169.4751363371793,0.30603836073468427,10.0,123.35695908668013
D3_KAERI_uniform,651,water,BOUND_Katto_x3.0,LOSO,65.1,585.9,-41.34419080286681,0.42950059182309824,0.6437204167494129,66.35517846925288,2169.4751363371793,0.30603836073468427,10.0,123.35695908668013
D3_KAERI_uniform,651,water,BOUND_Katto_unbounded,LOSO,65.1,585.9,-41.34419080286681,0.42950059182309824,0.6437204167494129,66.35517846925288,2169.4751363371793,0.30603836073468427,10.0,123.35695908668013
D3_KAERI_uniform,651,water,ITER_closure_GB,LOSO,65.1,585.9,-16.48715627007331,0.2981800658349252,0.4785506932946831,79.16657782021599,1624.2940866795636,0.4918255782774006,10.0,37.644543122777684
D4_KAERI_nonuniform,888,water,PHYS_KattoOhno,all_rows_no_fitting,888.0,0.0,0.797021580505346,0.42680180180180183,0.7274774774774775,27.49262921396675,1063.9395087884989,0.4177927927927928,,
D4_KAERI_nonuniform,888,water,PHYS_Biasi,all_rows_no_fitting,888.0,0.0,-2.4069974401219225,0.0,0.007882882882882882,367.41526795778486,4358.910047795459,0.010135135135135136,,
D4_KAERI_nonuniform,888,water,PHYS_LUT2006,all_rows_no_fitting,888.0,0.0,-3.1359419712897427,0.01126126126126126,0.01463963963963964,401.5837454449616,4802.631019883452,0.009009009009009009,,
D4_KAERI_nonuniform,888,water,PIML_dimensionless,80/20,178.0,710.0,0.9795450395238683,0.7539325842696629,0.9325842696629213,8.701462469778473,328.4308682756721,0.4882022471910112,10.0,0.01445973267334514
D4_KAERI_nonuniform,888,water,BOUND_Katto_x1.5,80/20,178.0,710.0,0.9698034694968948,0.8050561797752808,0.9455056179775282,13.572533999681003,370.9921409138179,0.49269662921348323,10.0,0.025296797217061393
D4_KAERI_nonuniform,888,water,BOUND_Katto_x2.0,80/20,178.0,710.0,0.9747139313244254,0.8067415730337076,0.9421348314606741,11.275644946901792,355.2040414609021,0.4955056179775282,10.0,0.016491245980376542
D4_KAERI_nonuniform,888,water,BOUND_Katto_x3.0,80/20,178.0,710.0,0.9745926161818079,0.8016853932584269,0.9404494382022472,9.740508320090637,359.8678634612411,0.5033707865168539,10.0,0.015687029003393117
D4_KAERI_nonuniform,888,water,BOUND_Katto_unbounded,80/20,178.0,710.0,0.9742420068882633,0.8022471910112359,0.9404494382022472,9.604277210143424,361.5011534676958,0.5033707865168539,10.0,0.01604047434222819
D4_KAERI_nonuniform,888,water,ITER_closure_GB,80/20,178.0,710.0,0.789209978231405,0.26067415730337073,0.503370786516854,27.46610585196014,1118.5456484453684,0.8488764044943821,10.0,0.09561548945073013
D4_KAERI_nonuniform,888,water,PIML_dimensionless,70/30,267.0,621.0,0.9761975007872573,0.7318352059925094,0.9183520599250936,9.56278356671832,350.5483902226796,0.498501872659176,10.0,0.014139559027785794
D4_KAERI_nonuniform,888,water,BOUND_Katto_x1.5,70/30,267.0,621.0,0.9649270755645475,0.798876404494382,0.9363295880149811,13.099459402807318,420.5352540285563,0.5063670411985017,10.0,0.021910251219831364
D4_KAERI_nonuniform,888,water,BOUND_Katto_x2.0,70/30,267.0,621.0,0.9684902163654389,0.800749063670412,0.9322097378277153,11.053186429230509,404.97651549255306,0.5097378277153559,10.0,0.019605067770308085
D4_KAERI_nonuniform,888,water,BOUND_Katto_x3.0,70/30,267.0,621.0,0.9678343988753373,0.797378277153558,0.9295880149812733,9.785055154193712,410.11023414438114,0.5168539325842697,10.0,0.01972572881876803
D4_KAERI_nonuniform,888,water,BOUND_Katto_unbounded,70/30,267.0,621.0,0.9671099221037153,0.7981273408239701,0.9292134831460673,9.701813664761787,413.7265749580345,0.5172284644194757,10.0,0.020016861441534445
D4_KAERI_nonuniform,888,water,ITER_closure_GB,70/30,267.0,621.0,0.7534796284267424,0.26254681647940076,0.49737827715355803,26.398206961178822,1175.7033612776718,0.8404494382022472,10.0,0.06527759947807033
D4_KAERI_nonuniform,888,water,PIML_dimensionless,LOSO,88.8,799.2,-0.2873505700853751,0.3220856798110196,0.6106617826024835,49.572160498274776,740.6960051327891,0.4031811516673878,10.0,1.4148925057312085
D4_KAERI_nonuniform,888,water,BOUND_Katto_x1.5,LOSO,88.8,799.2,0.292881568385379,0.2990021312075738,0.5283380530107356,39.33694403515179,1184.124488342486,0.3299041215024034,10.0,0.5431720551950511
D4_KAERI_nonuniform,888,water,BOUND_Katto_x2.0,LOSO,88.8,799.2,0.292881568385379,0.2990021312075738,0.5283380530107356,39.33694403515179,1184.124488342486,0.3299041215024034,10.0,0.5431720551950511
D4_KAERI_nonuniform,888,water,BOUND_Katto_x3.0,LOSO,88.8,799.2,0.292881568385379,0.2990021312075738,0.5283380530107356,39.33694403515179,1184.124488342486,0.3299041215024034,10.0,0.5431720551950511
D4_KAERI_nonuniform,888,water,BOUND_Katto_unbounded,LOSO,88.8,799.2,0.292881568385379,0.2990021312075738,0.5283380530107356,39.33694403515179,1184.124488342486,0.3299041215024034,10.0,0.5431720551950511
D4_KAERI_nonuniform,888,water,ITER_closure_GB,LOSO,88.8,799.2,-1.218033805677155,0.12582256411237253,0.2985259583305982,56.961119268801625,2159.9952026030846,0.7054707014773287,10.0,2.2784972287520935
D2_Zhao2020,1865,water,PHYS_KattoOhno,all_rows_no_fitting,1865.0,0.0,-0.4367832142176422,0.03163538873994638,0.11206434316353887,46.78169751114779,2379.3416465639634,0.9619302949061662,,
D2_Zhao2020,1865,water,PHYS_Biasi,all_rows_no_fitting,1865.0,0.0,-434.2013431073143,0.13941018766756033,0.2831099195710456,54.670712333257576,41410.10169307443,0.3780160857908847,,
D2_Zhao2020,1865,water,PHYS_LUT2006,all_rows_no_fitting,1865.0,0.0,0.5208400389451298,0.2938337801608579,0.49651474530831097,26.580265269055104,1374.0465436046493,0.39731903485254694,,
D2_Zhao2020,1865,water,PIML_dimensionless,80/20,373.0,1492.0,-114.4347428575463,0.6021447721179625,0.8638069705093834,16.188644732615334,11963.329327457122,0.5166219839142091,10.0,243.8059700248285
D2_Zhao2020,1865,water,BOUND_Katto_x1.5,80/20,373.0,1492.0,0.18386671347595676,0.23029490616621984,0.42761394101876676,28.79093614867753,1822.9641359850473,0.7600536193029491,10.0,0.11734541656189294
D2_Zhao2020,1865,water,BOUND_Katto_x2.0,80/20,373.0,1492.0,0.44479323835744966,0.2932975871313673,0.5294906166219839,23.39201263588236,1501.3969531311077,0.6085790884718498,10.0,0.11250017349102594
D2_Zhao2020,1865,water,BOUND_Katto_x3.0,80/20,373.0,1492.0,0.592146217698691,0.3552278820375335,0.6198391420911527,21.19111045313972,1282.5842353036128,0.5388739946380697,10.0,0.1177605601838701
D2_Zhao2020,1865,water,BOUND_Katto_unbounded,80/20,373.0,1492.0,0.6024965641924696,0.36621983914209116,0.6332439678284183,20.95883302449803,1264.662675369275,0.5206434316353887,10.0,0.12310358104875535
D2_Zhao2020,1865,water,PIML_dimensionless,70/30,560.0,1305.0,-32.78991336859211,0.5875,0.85125,14.558726285527195,5663.831267002944,0.5191071428571429,10.0,102.08632360327935
D2_Zhao2020,1865,water,BOUND_Katto_x1.5,70/30,560.0,1305.0,0.1350069939276699,0.2207142857142857,0.42053571428571435,29.24650851647029,1855.3372250409273,0.7598214285714284,10.0,0.18245799989105482
D2_Zhao2020,1865,water,BOUND_Katto_x2.0,70/30,560.0,1305.0,0.307649324800256,0.2866071428571429,0.5244642857142857,24.232046395848705,1626.661997076853,0.6041071428571428,10.0,0.35220705282669057
D2_Zhao2020,1865,water,BOUND_Katto_x3.0,70/30,560.0,1305.0,0.25418315647080597,0.34249999999999997,0.6074999999999999,22.686922059140294,1551.7304199719056,0.5258928571428572,10.0,0.9575337649724325
D2_Zhao2020,1865,water,BOUND_Katto_unbounded,70/30,560.0,1305.0,-0.14840229300391455,0.3516071428571429,0.6191071428571429,23.10536112121947,1705.1646937036253,0.5055357142857143,10.0,2.2630495101343144
D2_Zhao2020,1865,water,PIML_dimensionless,LOSO,186.5,1678.5,-5.142316923787176,0.26740096441201805,0.48562357966085157,38.2669254975192,3446.8491873669345,0.438291063165493,10.0,12.817928485751132
D2_Zhao2020,1865,water,BOUND_Katto_x1.5,LOSO,186.5,1678.5,-2.10276895438197,0.1088099625652624,0.28428252491756517,46.36423344520698,2560.801625451805,0.7098205941234397,10.0,4.235562541974731
D2_Zhao2020,1865,water,BOUND_Katto_x2.0,LOSO,186.5,1678.5,-1.9883538233170495,0.13967591834867293,0.3416889490708074,43.375432432737895,2523.417132125779,0.601733287751947,10.0,5.137541861961111
D2_Zhao2020,1865,water,BOUND_Katto_x3.0,LOSO,186.5,1678.5,-1.965120343138485,0.17256192117035812,0.3477174287604424,43.55310184789512,2519.191043951211,0.5509429888610452,10.0,5.146367335242
D2_Zhao2020,1865,water,BOUND_Katto_unbounded,LOSO,186.5,1678.5,-1.9753867542453194,0.17844427411153457,0.3535997817016189,43.638581786779405,2529.073562451548,0.5509429888610452,10.0,5.140581756136261
D9_LUT2006,11088,water,PHYS_KattoOhno,all_rows_no_fitting,11088.0,0.0,-0.07322171566126956,0.044372294372294376,0.08766233766233766,288.7639422688365,5134.762759498781,0.6960678210678211,,
D9_LUT2006,11088,water,PHYS_Biasi,all_rows_no_fitting,11088.0,0.0,-53540519.55899132,0.09893578643578643,0.19516594516594515,448811.73965074884,36267444.20957275,0.5132575757575758,,
D9_LUT2006,11088,water,PHYS_LUT2006,all_rows_no_fitting,11088.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,
D9_LUT2006,11088,water,PIML_dimensionless,80/20,2218.0,8870.0,0.9905661236289699,0.7087466185752932,0.9098286744815148,10.218537241594632,496.4972932708012,0.5232942590922752,3.0,0.0007098305839207328
D9_LUT2006,11088,water,BOUND_Katto_x1.5,80/20,2218.0,8870.0,-0.11917913667950593,0.04328223624887286,0.08926961226330028,275.056728709542,5409.92333750761,0.6910129245566576,3.0,0.015358724867342959
