TestID,Diameter,Perimeter,Area,Length,Pressure,Power,MassFlux,MassFlow,InletTemperature,InletEnthalpy,HeatFlux,CHFLocation,Shape,Fluid,Source,Continuous,Quality,QualityPosition,WallPower,WallMesh
94,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,97451.2,4041.8,0.3005,274.3,1205907.89,1842800,1.219,Middle(2),water,Lee(1963),no,-0.036,0.0,0.332,0.092
95,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,98778.5,4041.8,0.3005,274.6,1207442.41,1867900,1.372,Middle(2),water,Lee(1963),no,-0.036,0.0,0.332,0.092
96,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,95748.40000000001,4041.8,0.3005,275,1209495.62,1810600,1.27,Middle(2),water,Lee(1963),no,-0.036,0.0,0.332,0.092
97,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,99249.2,4041.8,0.3005,273.8,1203329.69,1876800,1.372,Middle(2),water,Lee(1963),no,-0.038,0.0,0.332,0.092
98,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,99439.5,4041.8,0.3005,267.9,1173226.41,1880400,1.27,Middle(2),water,Lee(1963),no,-0.058,0.0,0.332,0.092
99,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,98778.5,4041.8,0.3005,268.2,1174724.25,1867900,1.27,Middle(2),water,Lee(1963),no,-0.059,0.0,0.332,0.092
100,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,106726.7,4041.8,0.3005,257,1118969.43,2018200,1.372,Middle(2),water,Lee(1963),no,-0.096,0.0,0.332,0.092
101,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,106726.7,4041.8,0.3005,257,1118969.43,2018200,1.321,Middle(2),water,Lee(1963),no,-0.096,0.0,0.332,0.092
102,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,112215.8,4028.2,0.2995,250.4,1086856.39,2122000,1.372,Middle(2),water,Lee(1963),no,-0.116,0.0,0.332,0.092
103,0.00973,0.0306,7.4356e-05,1.73,7.138e+06,112686.5,4028.2,0.2995,250.5,1087339.69,2130900,1.422,Middle(2),water,Lee(1963),no,-0.125,0.0,0.332,0.092
104,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,118175.7,4041.8,0.3005,232.4,1001497.29,2234700,1.524,Middle(2),water,Lee(1963),no,-0.171,0.0,0.332,0.092
105,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,122527.9,4041.8,0.3005,231.4,996837.67,2317000,1.524,Middle(2),water,Lee(1963),no,-0.174,0.0,0.332,0.092
106,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,118455.9,4041.8,0.3005,232.1,1000112.23,2240000,1.473,Middle(2),water,Lee(1963),no,-0.175,0.0,0.332,0.092
107,0.00973,0.0306,7.4356e-05,1.73,7.034e+06,122527.9,4041.8,0.3005,231.8,998735.12,2317000,1.524,Middle(2),water,Lee(1963),no,-0.18,0.0,0.332,0.092
108,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,146462.3,4041.8,0.3005,211.5,905585.43,2769600,1.575,Middle(2),water,Lee(1963),no,-0.236,0.0,0.332,0.092
109,0.00973,0.0306,7.4356e-05,1.73,7.138e+06,148831.4,4041.8,0.3005,211.6,906123.15,2814400,1.524,Middle(2),water,Lee(1963),no,-0.246,0.0,0.332,0.092
110,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,158482.4,4041.8,0.3005,200.5,856170.57,2996900,1.422,Middle(2),water,Lee(1963),no,-0.27,0.0,0.332,0.092
111,0.00973,0.0306,7.4356e-05,1.73,7.000e+06,157059.9,4041.8,0.3005,200.2,854860.29,2970000,1.473,Middle(2),water,Lee(1963),no,-0.274,0.0,0.332,0.092
112,0.00973,0.0306,7.4356e-05,1.73,6.931e+06,175320.1,4041.8,0.3005,186.9,795862.56,3315300,1.524,Middle(2),water,Lee(1963),no,-0.31,0.0,0.332,0.092
113,0.00973,0.0306,7.4356e-05,1.73,6.966e+06,173617.3,4041.8,0.3005,186.8,795439.13,3283100,1.524,Middle(2),water,Lee(1963),no,-0.312,0.0,0.332,0.092
114,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,95182.5,2034.4,0.1513,252.8,1098477.51,1799900,1.626,middle(3),water,Lee(1963),yes,-0.108,0.0,0.211,0.043
115,0.00973,0.0306,7.4356e-05,1.73,6.897e+06,96129.09999999999,2020.9,0.1503,252.8,1098477.51,1817800,1.575,middle(3),water,Lee(1963),yes,-0.108,0.0,0.211,0.043
116,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,95372.9,2034.4,0.1513,251.9,1094112.79,1803500,1.575,middle(3),water,Lee(1963),yes,-0.11,0.0,0.211,0.043
117,0.00973,0.0306,7.4356e-05,1.73,6.862e+06,131893.3,2020.9,0.1503,164.8,699346.07,2494100,1.575,middle(3),water,Lee(1963),yes,-0.37,0.0,0.211,0.043
118,0.00973,0.0306,7.4356e-05,1.73,6.966e+06,132554.3,2020.9,0.1503,164.9,699838.97,2506600,1.524,middle(3),water,Lee(1963),yes,-0.375,0.0,0.211,0.043
