dataset,n,model,split,split_warning,R2,median_fold_R2,worst_fold_R2,RMSE_log,MAE_log,MAPE_pct,n_groups,seconds
pin_fin,175,Stacking_RF_XGB_SVR,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.5359781149205578,-0.40490708994815827,-25.09866586229576,0.42143184075913526,0.34090432719596425,39.83191222248358,16.0,17.1
Zhao_flow,1865,Linear,I_random,,0.7554295366114898,0.7508987946120711,0.7266697378897414,0.23699759778099044,0.184249589960188,19.031571571602683,,0.0
Zhao_flow,1865,Linear,II_condition_wise,,0.585185194778175,0.5909944488822032,-1.6541426251410138,0.3086519783814088,0.22932163771629493,25.0504760424915,6.0,0.0
Zhao_flow,1865,Linear,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.6268593627409937,0.49666282142700524,0.3183765236333661,0.29273740269387816,0.2149651899205013,23.635165210017966,36.0,0.0
Zhao_flow,1865,Linear,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.2921045766878332,0.05056667622629302,-0.9254231163132571,0.4032055422534189,0.31847360778125605,31.754446073392995,10.0,0.0
Zhao_flow,1865,Poly2_Ridge,I_random,,0.8331795326767829,0.8263096395612266,0.8145882429351614,0.19573415149756243,0.14672917770457894,15.14917721642546,,0.0
Zhao_flow,1865,Poly2_Ridge,II_condition_wise,,-0.3127484377982983,0.6022143174935689,-11.493843019543487,0.5490762966853638,0.315545468405065,41.261516057670114,6.0,0.0
Zhao_flow,1865,Poly2_Ridge,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.39912357366162143,0.6338308426462327,-0.29099239329348436,0.3714792190065853,0.23483193024820329,22.311428623667247,36.0,0.0
Zhao_flow,1865,Poly2_Ridge,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-27.227338921074196,0.12236972713633121,-48.912730710207626,2.546108517178467,0.8660880284832777,33.74530730219363,10.0,0.0
Zhao_flow,1865,KNN_k5,I_random,,0.8975139649099868,0.8961160785420272,0.888049579284214,0.15341728282346212,0.10787786575259033,10.880229878421781,,0.0
Zhao_flow,1865,KNN_k5,II_condition_wise,,0.5772722299630202,0.4986681795605945,-0.2976333862463436,0.31158197808895005,0.2277755292919308,22.56749937844303,6.0,0.0
Zhao_flow,1865,KNN_k5,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.6605728626262033,0.6671339327209748,0.41857159466534777,0.27919987628609694,0.2113353759975898,20.981834756654248,36.0,0.0
Zhao_flow,1865,KNN_k5,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.5032920021314764,0.44584119180651177,-2.0835363719971216,0.33774779101708435,0.25951520687120855,23.624821920426196,10.0,0.0
Zhao_flow,1865,SVR_RBF,I_random,,0.9315345358585685,0.9323541160025389,0.9154290231452737,0.12539427798301261,0.0814775496273583,8.430721910149979,,0.5
Zhao_flow,1865,SVR_RBF,II_condition_wise,,0.6159385195944796,0.5833022922233242,-0.5494549446160402,0.2969903352506158,0.21369856505869786,21.631350495350855,6.0,0.5
Zhao_flow,1865,SVR_RBF,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.7337102455680431,0.6368749859023168,0.5527064185965984,0.24729718305975928,0.17452417598962633,17.78319275418437,36.0,0.5
Zhao_flow,1865,SVR_RBF,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.5550595800401814,0.5591661793431499,-1.909124520398818,0.31966336806015433,0.23169403555908624,20.515206655654893,10.0,1.1
Zhao_flow,1865,ANN_MLP,I_random,,0.8671779145779841,0.8572728406244443,0.8320272901513649,0.1746534175551281,0.12318983660695842,12.870730820484516,,2.2
Zhao_flow,1865,ANN_MLP,II_condition_wise,,-1.8667149256755375,-0.7966691741962297,-15.1300213632326,0.8113984889673429,0.42557832168534043,171.1074991615239,6.0,2.4
Zhao_flow,1865,ANN_MLP,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.1904992115809292,0.5233108743170656,-1.4029204883903983,0.43117202830566403,0.25623568365611876,38.7660380156719,36.0,1.7
Zhao_flow,1865,ANN_MLP,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",-6.4071284094063445,0.18116922906089883,-41.83498538281181,1.3042681157314353,0.6949512744649707,832.8515626148139,10.0,4.0
Zhao_flow,1865,RandomForest,I_random,,0.9242781049333283,0.9214821065286272,0.9125899847884494,0.13187202585171337,0.08601832636159441,8.733279490474427,,0.8
Zhao_flow,1865,RandomForest,II_condition_wise,,0.6363596114223996,0.45984144886377354,0.004975865516475331,0.2889867942545375,0.21412752015002115,21.796617520319455,6.0,0.8
Zhao_flow,1865,RandomForest,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.7144051187397855,0.7274039399972418,0.40475434168121793,0.25610446516797736,0.18368433404140766,19.004397896022418,36.0,0.8
Zhao_flow,1865,RandomForest,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.40099567419115933,0.24740337626189973,-0.7123907806562841,0.37090007415773957,0.2709906968226225,23.34155177135379,10.0,1.6
Zhao_flow,1865,ExtraTrees,I_random,,0.9412618070693727,0.9450351950123077,0.9277042139410596,0.1161454581629451,0.07631033014860875,7.693633556449968,,0.5
Zhao_flow,1865,ExtraTrees,II_condition_wise,,0.7483502740040957,0.6857373353946,0.25566225383691266,0.24040315985442684,0.1810924360810681,18.48828359391418,6.0,0.5
Zhao_flow,1865,ExtraTrees,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.7554643271472767,0.7852922732257014,0.4992276999651164,0.23698074053964693,0.17955109175286726,18.38822192881519,36.0,0.5
Zhao_flow,1865,ExtraTrees,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.5763165346433372,0.369418353286784,-0.92091117069799,0.3119339887051969,0.233679473744729,21.54693146440822,10.0,1.1
Zhao_flow,1865,XGBoost,I_random,,0.9409606806571862,0.9424833014011486,0.9297268557472519,0.11644279242703424,0.07841677128768837,7.95733438050931,,1.1
Zhao_flow,1865,XGBoost,II_condition_wise,,0.6114480609543853,0.5213075702772396,0.32940949383669027,0.29872149981507234,0.22121835201753748,26.006119035346824,6.0,1.2
Zhao_flow,1865,XGBoost,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.7811666491391893,0.7743570849374427,0.6558689100347671,0.2241809452623413,0.16914869510537603,16.968924588807223,36.0,1.2
Zhao_flow,1865,XGBoost,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.5547624970411955,0.33553311475408654,-0.09709406626361683,0.31977006853170803,0.2391909057310211,21.001540372280054,10.0,2.4
Zhao_flow,1865,LightGBM,I_random,,0.9377228591122414,0.9351611740330676,0.9267243568427683,0.11959314140894128,0.0770244385255628,7.843762588736196,,3.7
Zhao_flow,1865,LightGBM,II_condition_wise,,0.6394409909840277,0.4699113469098486,0.3485134526398894,0.28775979572067195,0.2123633424552518,24.75371915460853,6.0,3.5
Zhao_flow,1865,LightGBM,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.7691360278628567,0.7398119641314426,0.6180408632053309,0.2302608071131897,0.16897244545062942,17.4493251973497,36.0,3.7
Zhao_flow,1865,LightGBM,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.4397085575427695,0.3658228105638628,-0.537356811003086,0.35871450276694417,0.26353683941223127,22.641958671230743,10.0,7.2
Zhao_flow,1865,CatBoost,I_random,,0.9429996523962395,0.9439603125534229,0.9323856677016227,0.11441440142396798,0.0793620506999291,8.038819071535833,,0.7
Zhao_flow,1865,CatBoost,II_condition_wise,,0.7113792266430036,0.5872564904072197,0.23999091317457744,0.2574576102808092,0.19135325100034623,21.00400862474208,6.0,0.7
Zhao_flow,1865,CatBoost,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.7879144001823295,0.792278752633438,0.5459591819494971,0.22069756000298182,0.16058111861790805,16.640257809573615,36.0,0.7
Zhao_flow,1865,CatBoost,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.6057009783565804,0.40860641698056166,-1.434706981836725,0.300922589625034,0.22590634429817225,20.15941061400396,10.0,1.4
Zhao_flow,1865,GPR_Matern,I_random,,0.9454513624711861,0.9504593970110974,0.932170177487915,0.11192675030915393,0.07190699204300667,7.274760545904731,,16.5
Zhao_flow,1865,GPR_Matern,II_condition_wise,,0.5857024199067055,0.5961161127256287,-0.7120953066235016,0.3084594920572853,0.2147447879986192,19.693120714695,6.0,16.9
Zhao_flow,1865,GPR_Matern,III_surface_wise,"DEGENERATE: groups are 95% study-pure -> this is a study split, not a genuine III_surface_wise",0.6951398316101061,0.6760833664495653,0.5067910869943952,0.26460148876119505,0.19197558799270836,18.74734898725925,36.0,16.7
Zhao_flow,1865,GPR_Matern,IV_leave_one_publication_out,"DEGENERATE: groups are 100% study-pure -> this is a study split, not a genuine IV_leave_one_publication_out",0.42814875521913875,0.3556613818706074,-2.33270505752716,0.36239606738562447,0.26657168160101113,22.6837457546743,10.0,47.8
Zhao_flow,1865,Stacking_RF_XGB_SVR,I_random,,0.9233546928831169,0.9249271623995665,0.9014162907764528,0.13267366464949404,0.09946038903583208,10.653256547673081,,8.3
Zhao_flow,1865,Stacking_RF_XGB_SVR,II_condition_wise,,0.590408858646105,0.39945013579748356,0.0006748173699724358,0.30670243103054706,0.22880327365783018,27.16421130225183,6.0,8.0
